Name	Tm	Elig Pos	RBI	HR	AVG	SB	AB	H	R	BB	SO	OBP	SLG	OPS
Presley, Alex	Pit	UT,OF	25	10	.237	9	346	82	46	18	72	.279	.405	.683
Puig, Yasiel	LAD	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Punto, Nick	LAD	CM,UT,MI,2B,3B	10	1	.219	6	160	35	20	25	42	.321	.281	.602
Quintanilla, Omar	NYM(NRI)	UT,MI,2B,SS	16	4	.243	0	169	41	25	16	42	.312	.361	.673
Quintero, Humberto	Phi(NRI)	C,UT	19	1	.232	0	138	32	7	4	28	.257	.341	.598
Quiroz, Guillermo	SF(NRI)	C,UT	0	0	.000	0	2	0	0	0	1	.000	.000	.000
Ramos, Wilson	Was	C,UT	10	3	.265	0	83	22	11	12	19	.354	.398	.752
Ransom, Cody	SD(NRI)	CM,UT,MI,SS,3B	42	11	.220	0	246	54	29	30	109	.312	.411	.722
Realmuto, Jacob	Mia(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Recker, Anthony	NYM	C,UT	4	1	.143	0	49	7	4	6	15	.263	.245	.508
Reed, Mark	Ari(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Revere, Ben	Phi	UT,OF	32	0	.294	40	511	150	70	29	54	.333	.342	.675
Reyes, Elmer	Atl(NRI)	MI,UT,SS	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Rivera, Rene	SD(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Rivero, Carlos	Was	MI,UT,SS	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Robinson, Derrick	Cin(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Robinson, Shane	StL	UT,OF	16	3	.253	1	166	42	20	14	32	.309	.355	.665
Rodriguez, Eddy	SD(NRI)	C,UT	1	1	.200	0	5	1	1	2	3	.429	.800	1.23
Ross, Cody	Ari	UT,OF	81	22	.267	2	476	127	70	42	129	.326	.481	.807
