Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,PH,PR
281,Rowland Office\officro01,23,ATL,4,99,89,99,92,0,0,0,0,0,0,0,92,0,92,7,1
282,Al Oliver\oliveal01,29,PIT,9,121,108,121,109,0,0,3,0,0,0,0,106,0,106,13,0
283,Steve Ontiveros\ontivst01,24,SFG,4,59,5,59,17,0,0,4,0,7,0,4,3,2,7,48,1
284,Ed Ott\otted01,24,PIT,3,27,5,27,8,0,8,0,0,0,0,0,0,0,0,20,0
285,Bob Owchinko\owchibo01,21,SDP,1st,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
286,Tom Paciorek\pacioto01,29,ATL,7,111,78,111,95,0,0,13,0,1,0,37,8,44,84,24,4
287,Dave Parker\parkeda01,25,PIT,4,138,134,138,134,0,0,0,0,0,0,0,0,134,134,4,0
288,Larry Parrish\parrila01,22,MON,3,154,145,154,153,0,0,0,0,153,0,0,0,0,0,1,1
289,Kevin Pasley\pasleke01,22,LAD,2,23,20,23,23,0,23,0,0,0,0,0,0,0,0,0,0
290,Gene Pentz\pentzge01,23,HOU,2,40,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0
291,Marty Perez\perezma01,30,2TM,8,124,109,124,123,0,0,0,107,2,23,0,0,0,0,5,1
292,Tony Perez\perezto01,34,CIN,13,139,130,139,136,0,0,136,0,0,0,0,0,0,0,8,0
293,Mike Phillips\phillmi01,25,NYM,4,87,64,87,76,0,0,0,19,10,54,0,0,0,0,13,3
294,Bill Plummer\plummbi01,29,CIN,8,56,40,56,54,0,54,0,0,0,0,0,0,0,0,4,0
295,Biff Pocoroba\pocorbi01,22,ATL,2,54,51,54,54,0,54,0,0,0,0,0,0,0,0,2,0
296,Mike Potter\pottemi01,25,STL,1st,9,3,9,4,0,0,0,0,0,0,4,0,0,4,5,0
297,Mike Proly\prolymi01,25,STL,1st,14,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0
298,Ed Putman\putmaed01,22,CHC,1st,5,1,5,3,0,3,1,0,0,0,0,0,0,0,2,0
299,Dave Rader\raderda01,27,SFG,6,88,70,88,79,0,79,0,0,0,0,0,0,0,0,14,0
300,Doug Rader\raderdo02,31,SDP,10,139,136,139,137,0,0,0,0,137,0,0,0,0,0,2,0
301,Eric Rasmussen\rasmuer01,24,STL,2,43,17,43,43,43,0,0,0,0,0,0,0,0,0,0,0
302,Doug Rau\raudo01,27,LAD,5,34,32,34,34,34,0,0,0,0,0,0,0,0,0,0,0
303,Ron Reed\reedro01,33,PHI,11,59,4,59,59,59,0,0,0,0,0,0,0,0,0,0,0
304,Ken Reitz\reitzke01,25,SFG,5,155,151,155,155,0,0,0,0,155,1,0,0,0,0,2,0
305,Steve Renko\renkost01,31,2TM,8,34,28,34,33,33,0,0,0,0,0,0,0,0,0,1,0
306,Merv Rettenmund\retteme01,33,SDP,9,86,25,86,43,0,0,0,0,0,0,34,1,11,43,49,2
307,Paul Reuschel\reuscpa01,29,CHC,2,50,2,50,50,50,0,0,0,0,0,0,0,0,0,0,0
308,Rick Reuschel\reuscri01,27,CHC,5,38,37,38,38,38,0,0,0,0,0,0,0,0,0,0,0
309,Jerry Reuss\reussje01,27,PIT,8,31,29,31,31,31,0,0,0,0,0,0,0,0,0,0,0
310,Craig Reynolds\reynocr01,23,PIT,2,7,1,7,5,0,0,0,1,0,4,0,0,0,0,0,3
311,Ken Reynolds\reynoke01,29,SDP,6,19,2,19,19,19,0,0,0,0,0,0,0,0,0,0,0
312,Rick Rhoden\rhoderi01,23,LAD,3,27,26,27,27,27,0,0,0,0,0,0,0,0,0,0,0
313,Frank Riccelli\riccefr01,23,SFG,1st,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0
314,J.R. Richard\richaj.01,26,HOU,6,39,39,39,39,39,0,0,0,0,0,0,0,0,0,0,0
315,Lee Richard\richale01,27,STL,5,66,25,66,39,0,0,0,26,1,13,0,0,0,0,5,30
316,Bombo Rivera\riverbo01,23,MON,2,68,50,68,56,0,0,0,0,0,0,45,0,14,56,15,2
317,Leon Roberts\roberle01,25,HOU,3,87,55,87,60,0,0,0,0,0,0,50,0,12,60,30,0
318,Bob Robertson\roberbo01,29,PIT,9,61,28,61,29,0,0,29,0,0,0,0,0,0,0,32,0
319,Bill Robinson\robinbi02,33,PIT,9,122,95,122,113,0,0,3,0,37,0,29,29,30,78,13,2
320,Craig Robinson\robincr01,27,2TM,5,30,8,30,18,0,0,0,12,3,3,0,0,0,0,5,11
321,Sergio Robles\roblese01,30,LAD,3,6,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0
322,Pat Rockett\rockepa01,21,ATL,1st,4,0,4,2,0,0,0,0,0,2,0,0,0,0,4,0
323,Ellie Rodriguez\rodriel01,30,LAD,9,36,21,36,33,0,33,0,0,0,0,0,0,0,0,3,0
324,Gary Roenicke\roeniga01,21,MON,1st,29,23,29,25,0,0,0,0,0,0,3,0,22,25,5,0
325,Steve Rogers\rogerst01,26,MON,4,35,32,35,33,33,0,0,0,0,0,0,0,0,0,0,2
326,Gil Rondon\rondogi01,22,HOU,1st,19,7,19,19,19,0,0,0,0,0,0,0,0,0,0,0
327,Jim Rooker\rookeji01,33,PIT,9,33,29,33,30,30,0,0,0,0,0,0,0,0,0,0,3
328,Pete Rose\rosepe01,35,CIN,14,162,156,162,160,0,0,0,0,159,0,0,0,1,1,3,0
329,Dave Rosello\roselda01,26,CHC,5,91,68,91,87,0,0,0,1,0,86,0,0,0,0,2,5
330,Jerry Royster\roystje01,23,ATL,4,149,144,149,149,0,0,0,0,148,2,0,0,0,0,1,0
331,Ken Rudolph\rudolke01,29,STL,8,27,8,27,14,0,14,0,0,0,0,0,0,0,0,14,0
332,Bill Russell\russebi01,27,LAD,8,149,145,149,149,0,0,0,0,0,149,0,0,0,0,0,3
333,Dick Ruthven\ruthvdi01,25,ATL,4,37,36,37,36,36,0,0,0,0,0,0,0,0,0,0,1
334,Mike Sadek\sadekmi01,30,SFG,3,55,27,55,51,0,51,0,0,0,0,0,0,0,0,4,5
335,Joe Sambito\sambijo01,24,HOU,1st,20,4,20,20,20,0,0,0,0,0,0,0,0,0,0,0
336,Ken Sanders\sandeke01,34,NYM,10,31,0,31,31,31,0,0,0,0,0,0,0,0,0,0,0
337,Manny Sanguillen\sanguma01,32,PIT,9,114,104,114,111,0,111,0,0,0,0,0,0,0,0,5,1
338,Manny Sarmiento\sarmima01,20,CIN,1st,22,0,22,22,22,0,0,0,0,0,0,0,0,0,0,0
339,Rick Sawyer\sawyeri01,28,SDP,3,13,11,13,13,13,0,0,0,0,0,0,0,0,0,0,0
340,Pat Scanlon\scanlpa02,23,MON,3,11,7,11,7,0,0,1,0,7,0,0,0,0,0,4,0
341,Fred Scherman\scherfr01,31,MON,8,31,0,31,31,31,0,0,0,0,0,0,0,0,0,0,0
342,Mike Schmidt\schmimi01,26,PHI,5,160,160,160,160,0,0,0,0,160,0,0,0,0,0,0,0
343,Ron Schueler\schuero01,28,PHI,5,35,0,35,35,35,0,0,0,0,0,0,0,0,0,0,0
344,Buddy Schultz\schulbu01,25,CHC,2,29,0,29,29,29,0,0,0,0,0,0,0,0,0,0,0
345,Rodney Scott\scottro01,22,MON,2,7,2,7,7,0,0,0,6,0,3,0,0,0,0,1,1
346,Tom Seaver\seaveto01,31,NYM,10,35,34,35,35,35,0,0,0,0,0,0,0,0,0,0,0
347,Paul Siebert\siebepa01,23,HOU,3,19,0,19,19,19,0,0,0,0,0,0,0,0,0,0,0
348,Ted Simmons\simmote01,26,STL,9,150,143,150,146,0,114,30,0,2,0,7,0,0,7,7,0
349,Joe Simpson\simpsjo01,24,LAD,2,23,8,23,20,0,0,0,0,0,0,5,6,9,20,0,4
350,Ted Sizemore\sizemte01,31,LAD,8,84,60,84,75,0,2,0,71,3,0,0,0,0,0,13,2
351,Reggie Smith\smithre06,31,2TM,11,112,101,112,102,0,0,17,0,14,0,0,3,71,74,11,0
352,Eddie Solomon\solomed01,25,STL,4,26,2,26,26,26,0,0,0,0,0,0,0,0,0,0,0
353,Elias Sosa\sosael01,26,2TM,5,45,0,45,45,45,0,0,0,0,0,0,0,0,0,0,0
354,Jose Sosa\sosajo01,23,HOU,2,9,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0
355,Chris Speier\speiech01,26,SFG,6,145,136,145,139,0,0,1,7,5,135,0,0,0,0,7,0
356,Rob Sperring\sperrro01,26,CHC,3,43,23,43,40,0,0,0,4,20,16,3,0,0,3,3,3
357,Dan Spillner\spillda01,24,SDP,3,33,14,33,32,32,0,0,0,0,0,0,0,0,0,0,1
358,Roy Staiger\staigro01,26,NYM,2,95,87,95,94,0,0,0,0,93,1,0,0,0,0,2,0
359,Don Stanhouse\stanhdo01,25,MON,5,34,26,34,34,34,0,0,0,0,0,0,0,0,0,0,0
