Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
117,Phil Niekro\niekrph01,33,ATL,16,12,.571,3.06,38,36,1,17,1,0,282.1,254,112,96,22,53,3,164,5,3,10,1150,123,2.87,1.087,8.1,0.7,1.7,5.2,3.09
118,Gary Nolan\nolanga01,24,CIN,15,5,.750,1.99,25,25,0,6,2,0,176.0,147,48,39,13,30,5,90,1,0,5,689,162,2.86,1.006,7.5,0.7,1.5,4.6,3.00
119,Fred Norman*\normafr01,29,SDP,9,11,.450,3.44,42,28,5,10,6,2,211.2,195,88,81,18,88,12,167,2,2,13,905,96,3.20,1.337,8.3,0.8,3.7,7.1,1.90
120,Claude Osteen*\osteecl01,32,LAD,20,11,.645,2.64,33,33,0,14,4,0,252.0,232,82,74,16,69,4,100,4,0,5,1033,127,3.30,1.194,8.3,0.6,2.5,3.6,1.45
121,Lowell Palmer\palmelo01,24,STL,0,3,.000,3.89,16,2,3,0,0,0,34.2,30,16,15,2,26,1,25,1,0,3,155,89,4.04,1.615,7.8,0.5,6.8,6.5,0.96
122,Milt Pappas\pappami01,33,CHC,17,7,.708,2.77,29,28,0,10,3,0,195.0,187,72,60,18,29,3,80,8,0,2,791,136,3.35,1.108,8.6,0.8,1.3,3.7,2.76
123,Jose Pena\penajo01,29,LAD,0,0,,8.59,5,0,1,0,0,0,7.1,13,8,7,1,6,1,4,0,0,0,42,41,5.54,2.591,16.0,1.2,7.4,4.9,0.67
124,Ron Perranoski*\perraro01,36,LAD,2,0,1.000,2.70,9,0,4,0,0,0,16.2,19,8,5,0,8,0,5,0,0,0,74,128,3.24,1.620,10.3,0.0,4.3,2.7,0.63
125,Tom Phoebus\phoebto01,30,TOT,3,4,.429,4.04,38,2,10,0,0,6,89.0,79,45,40,11,51,4,67,2,1,6,388,93,4.29,1.461,8.0,1.1,5.2,6.8,1.31
126,Tom Phoebus\phoebto01,30,SDP,0,1,.000,7.94,1,1,0,0,0,0,5.2,3,5,5,2,6,0,8,0,1,0,26,45,7.34,1.588,4.8,3.2,9.5,12.7,1.33
127,Tom Phoebus\phoebto01,30,CHC,3,3,.500,3.78,37,1,10,0,0,6,83.1,76,40,35,9,45,4,59,2,0,6,362,100,4.08,1.452,8.2,1.0,4.9,6.4,1.31
128,Juan Pizarro*\pizarju01,35,CHC,4,5,.444,3.94,16,7,4,1,0,1,59.1,66,28,26,7,32,5,24,1,0,2,264,96,4.79,1.652,10.0,1.1,4.9,3.6,0.75
129,Tim Plodinec\ploditi01,25,STL,0,0,,27.00,1,0,0,0,0,0,0.1,3,1,1,0,0,0,0,0,0,1,4,30,2.40,9.000,81.0,0.0,0.0,0.0,
130,Doug Rau*\raudo01,23,LAD,2,2,.500,2.20,7,3,3,2,0,0,32.2,18,11,8,1,11,2,19,1,0,0,130,154,2.74,0.888,5.0,0.3,3.0,5.2,1.73
131,Bob Rauch\rauchbo01,23,NYM,0,1,.000,5.00,19,0,7,0,0,1,27.0,27,16,15,3,21,2,23,0,0,4,126,68,4.47,1.778,9.0,1.0,7.0,7.7,1.10
132,Jim Ray\rayji01,27,HOU,10,9,.526,4.28,54,0,25,0,0,8,90.1,77,50,43,10,44,6,50,3,0,4,393,79,4.29,1.339,7.7,1.0,4.4,5.0,1.14
133,Frank Reberger\reberfr01,28,SFG,3,4,.429,3.99,20,11,1,2,0,0,99.1,97,49,44,10,37,2,52,5,1,4,427,88,3.93,1.349,8.8,0.9,3.4,4.7,1.41
134,Ron Reed\reedro01,29,ATL,11,15,.423,3.93,31,30,0,11,1,0,213.0,222,109,93,18,60,7,111,6,0,11,913,96,3.38,1.324,9.4,0.8,2.5,4.7,1.85
