Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
364,Tony Scott#\scottto01,28,STL,143,461,415,51,104,19,3,0,28,22,10,35,68,.251,.308,.311,.619,71,129,8,1,5,4,9,*8
365,Rod Scurry*\scurrro01,24,PIT,20,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,39,1,0,0,0,0,0,1
366,Kim Seaman*\seamaki01,23,STL,26,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
367,Tom Seaver\seaveto01,35,CIN,26,60,46,5,6,3,0,0,3,0,0,7,17,.130,.245,.196,.441,25,9,0,0,7,0,0,1
368,Bob Shirley\shirlbo01,26,SDP,59,37,30,3,1,0,0,0,1,0,0,3,15,.033,.121,.033,.155,-53,1,0,0,4,0,0,1
369,Ted Simmons#\simmote01,30,STL,145,562,495,84,150,33,2,21,98,1,0,59,45,.303,.375,.505,.880,140,250,13,2,0,6,13,*2/7
370,Dave Smith\smithda02,25,HOU,57,14,12,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,2,0,0,1
371,Keith Smith\smithke01,27,STL,24,33,31,3,4,1,0,0,2,0,0,2,2,.129,.182,.161,.343,-5,5,2,0,0,0,1,/798
372,Lee Smith\smithle02,22,CHC,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
373,Lonnie Smith\smithlo01,24,PHI,100,331,298,69,101,14,4,3,20,33,13,26,48,.339,.397,.443,.840,130,132,5,4,1,2,2,79/8
374,Ozzie Smith#\smithoz01,25,SDP,158,712,609,67,140,18,5,0,35,57,15,71,49,.230,.313,.276,.589,71,168,9,5,23,4,1,*6
375,Reggie Smith#\smithre06,35,LAD,92,362,311,47,100,13,0,15,55,5,6,41,63,.322,.392,.508,.900,151,158,4,1,0,9,1,9/8
376,Eddie Solomon\solomed01,29,PIT,27,35,32,3,7,2,0,0,1,0,0,0,11,.219,.219,.281,.500,37,9,1,0,3,0,0,1
377,Elias Sosa\sosael01,30,MON,67,12,11,0,1,0,0,0,1,0,0,0,6,.091,.091,.091,.182,-49,1,0,0,1,0,0,1
378,Mario Soto\sotoma01,23,CIN,54,54,46,3,2,0,0,0,0,0,0,0,16,.043,.043,.043,.087,-76,2,0,0,8,0,0,1
379,Chris Speier\speiech01,30,MON,128,447,388,35,103,14,4,1,32,0,3,52,38,.265,.351,.330,.681,92,128,10,0,6,1,18,*6/5
380,Charlie Spikes\spikech01,29,ATL,41,40,36,6,10,1,0,0,2,0,0,3,18,.278,.350,.306,.656,83,11,0,1,0,0,2,/97
381,Harry Spilman*\spilmha01,25,CIN,65,114,101,14,27,4,0,4,19,0,0,9,19,.267,.327,.426,.753,109,43,2,1,1,2,1,3/752
382,Bobby Sprowl*\sprowbo01,24,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
383,George Stablein\stablge01,22,SDP,4,4,3,0,0,0,0,0,0,0,0,0,2,.000,.250,.000,.250,-22,0,0,1,0,0,0,/1
384,Don Stanhouse\stanhdo01,29,LAD,21,3,2,0,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,2,0,0,0,0,0,0,1
385,Willie Stargell*\stargwi01,40,PIT,67,231,202,28,53,10,1,11,38,0,0,26,52,.262,.351,.485,.836,129,98,2,2,0,1,10,3
386,John Stearns\stearjo01,28,NYM,91,363,319,42,91,25,1,0,45,7,3,33,24,.285,.346,.370,.716,103,118,5,1,2,8,1,23/5
387,Jeff Stember\stembje01,22,SFG,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
388,Rennie Stennett\stennre01,29,SFG,120,425,397,34,97,13,2,2,37,4,4,22,31,.244,.286,.302,.588,67,120,10,2,2,2,10,*4
389,Craig Stimac\stimacr01,25,SDP,20,56,50,5,11,2,0,0,7,0,0,1,6,.220,.222,.260,.482,38,13,0,0,2,3,0,2/5
390,Joe Strain\straijo01,26,SFG,77,207,189,26,54,6,0,0,16,1,2,10,10,.286,.320,.317,.637,82,60,8,0,7,1,0,4/56
391,Guy Sularz\sulargu01,24,SFG,25,77,65,3,16,1,1,0,3,1,0,9,6,.246,.333,.292,.626,79,19,2,0,2,1,1,4/5
392,Rick Sutcliffe*\sutclri01,24,LAD,44,32,27,1,4,0,0,0,3,0,0,2,5,.148,.207,.148,.355,2,4,0,0,3,0,0,1
393,Bruce Sutter\suttebr01,27,CHC,60,10,9,0,1,0,0,0,1,0,0,0,6,.111,.111,.111,.222,-39,1,0,0,1,0,0,1
394,Don Sutton\suttodo01,35,LAD,32,73,64,3,5,0,0,0,1,0,0,1,19,.078,.092,.078,.170,-52,5,4,0,8,0,0,1
395,Craig Swan\swancr01,29,NYM,21,43,32,1,7,0,0,0,5,0,0,4,13,.219,.306,.219,.524,51,7,2,0,7,0,0,1
396,Steve Swisher\swishst01,28,STL,18,25,24,2,6,1,0,0,2,0,0,1,7,.250,.280,.292,.572,58,7,2,0,0,0,0,/2
397,Bob Sykes#\sykesbo01,25,STL,27,45,39,2,4,0,0,0,2,0,0,1,14,.103,.143,.103,.245,-31,4,1,1,3,1,0,1
398,John Tamargo#\tamarjo01,28,MON,37,58,51,4,14,3,0,1,13,0,0,6,5,.275,.345,.392,.737,106,20,0,0,0,1,0,2
399,Frank Taveras\taverfr01,30,NYM,141,598,562,65,157,27,0,0,25,32,18,23,64,.279,.308,.327,.635,80,184,15,1,10,2,0,*6
400,Kent Tekulve\tekulke01,33,PIT,78,10,9,0,0,0,0,0,0,0,0,1,7,.000,.100,.000,.100,-70,0,0,0,0,0,0,1
401,Tom Tellmann\tellmto01,26,SDP,6,8,8,0,1,0,0,0,1,0,0,0,5,.125,.125,.125,.250,-28,1,0,0,0,0,0,/1
402,Garry Templeton#\templga01,24,STL,118,524,504,83,161,19,9,4,43,31,15,18,43,.319,.342,.417,.759,108,210,13,0,1,1,6,*6
403,Gene Tenace\tenacge01,33,SDP,133,416,316,46,70,11,1,17,50,4,4,92,63,.222,.399,.424,.823,137,134,11,4,0,4,11,23
404,Derrel Thomas#\thomade01,29,LAD,117,332,297,32,79,18,3,1,22,7,9,26,48,.266,.326,.357,.683,92,106,5,1,7,1,3,684/9257
405,Roy Thomas\thomaro02,27,STL,24,14,13,0,2,0,0,0,0,0,0,1,4,.154,.214,.154,.368,3,2,0,0,0,0,0,1
406,Gary Thomasson*\thomaga01,28,LAD,80,129,111,6,24,3,0,1,12,0,0,17,26,.216,.326,.270,.596,69,30,3,1,0,0,3,9/873
407,Scot Thompson*\thompsc01,24,CHC,102,257,226,26,48,10,1,2,13,6,6,28,31,.212,.301,.292,.593,62,66,6,1,1,1,3,983/7
408,Dick Tidrow\tidrodi01,33,CHC,84,4,4,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
409,Dave Tomlin*\tomlida01,31,CIN,27,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,0,0,0,1
410,Jim Tracy*\tracyji01,24,CHC,42,137,122,12,31,3,3,3,9,2,2,13,37,.254,.326,.402,.728,97,49,1,0,2,0,1,79/3
411,Alex Trevino\trevial01,22,NYM,106,376,355,26,91,11,2,0,37,0,3,13,41,.256,.281,.299,.579,65,106,11,1,2,5,1,25/4
412,Manny Trillo\trillma01,29,PHI,141,573,531,68,155,25,9,7,43,8,3,32,46,.292,.334,.412,.746,104,219,16,3,4,3,8,*4
413,Jerry Turner*\turneje01,26,SDP,85,168,153,22,44,5,0,3,18,8,3,10,18,.288,.335,.379,.714,105,58,1,2,1,2,4,9/7
414,Mike Tyson\tysonmi01,30,CHC,123,363,341,34,81,19,3,3,23,1,2,15,61,.238,.273,.337,.610,65,115,5,2,4,1,3,*4
415,Del Unser*\unserde01,35,PHI,96,123,110,15,29,6,4,0,10,0,1,10,21,.264,.320,.391,.711,94,43,2,0,1,2,1,387/9
416,John Urrea\urreajo01,25,STL,30,15,13,0,3,0,0,0,0,0,0,0,4,.231,.231,.231,.462,28,3,0,0,2,0,0,1
