Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,PH,PR
47,Fred Breining\breinfr01,24,SFG,1st,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0
48,Hubie Brooks\brookhu01,23,NYM,1st,24,23,24,23,0,0,0,0,23,0,0,0,0,0,1,0
49,Warren Brusstar\brusswa01,28,PHI,4,26,0,26,26,26,0,0,0,0,0,0,0,0,0,0,0
50,Bill Buckner\bucknbi01,30,CHC,12,145,138,145,139,0,0,94,0,0,0,42,0,12,50,7,0
51,Sheldon Burnside\burnssh01,25,CIN,3,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0
52,Ray Burris\burrira01,29,NYM,8,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0
53,Jeff Burroughs\burroje01,29,ATL,11,99,72,99,73,0,0,0,0,0,0,73,0,0,73,27,0
54,Marty Bystrom\bystrma01,21,PHI,1st,6,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0
55,Enos Cabell\cabelen01,30,HOU,9,152,150,152,151,0,0,1,0,150,0,0,0,0,0,1,0
56,Rick Camp\campri01,27,ATL,4,77,0,77,77,77,0,0,0,0,0,0,0,0,0,0,0
57,John Candelaria\candejo01,26,PIT,6,35,34,35,35,35,0,0,0,0,0,0,0,0,0,0,0
58,Doug Capilla\capildo01,28,CHC,5,40,11,40,39,39,0,0,0,0,0,0,0,0,0,0,1
59,Bernie Carbo\carbobe01,32,2TM,12,21,0,21,0,0,0,0,0,0,0,0,0,0,0,21,0
60,Jose Cardenal\cardejo02,36,NYM,18,26,6,26,11,0,0,5,0,0,0,2,0,4,6,19,0
61,Steve Carlton\carltst01,35,PHI,16,38,38,38,38,38,0,0,0,0,0,0,0,0,0,0,0
62,Gary Carter\cartega01,26,MON,7,154,146,154,149,0,149,0,0,0,0,0,0,0,0,6,0
63,Dave Cash\cashda01,32,SDP,12,130,107,130,123,0,0,0,123,0,0,0,0,0,0,8,1
