Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
137,Eric Rasmussen\rasmuer01,30,STL,1,2,.333,4.42,8,3,1,0,0,0,18.1,21,13,9,2,8,4,15,0,0,0,83,84,3.81,1.582,10.3,1.0,3.9,7.4,1.88
138,Jeff Reardon\reardje01,26,MON,7,4,.636,2.06,75,0,53,0,0,26,109.0,87,28,25,6,36,4,86,2,0,2,444,177,2.90,1.128,7.2,0.5,3.0,7.1,2.39
139,Jerry Reed\reedje01,26,PHI,1,0,1.000,5.19,7,0,1,0,0,0,8.2,11,6,5,0,3,0,1,1,0,0,38,74,3.87,1.615,11.4,0.0,3.1,1.0,0.33
140,Ron Reed\reedro01,39,PHI,5,5,.500,2.66,57,2,30,0,0,14,98.0,85,30,29,4,24,5,57,3,0,4,401,139,2.91,1.112,7.8,0.4,2.2,5.2,2.38
141,Jerry Reuss*\reussje01,33,LAD,18,11,.621,3.11,39,37,2,8,4,0,254.2,232,98,88,11,50,10,138,2,3,7,1036,113,2.81,1.107,8.2,0.4,1.8,4.9,2.76
142,Rick Rhoden\rhoderi01,29,PIT,11,14,.440,4.14,35,35,0,6,1,0,230.1,239,115,106,14,70,8,128,2,3,9,983,91,3.33,1.342,9.3,0.5,2.7,5.0,1.83
143,Andy Rincon\rincoan01,23,STL,2,3,.400,4.73,11,6,2,1,0,0,40.0,35,22,21,1,25,0,11,0,2,2,172,78,4.37,1.500,7.9,0.2,5.6,2.5,0.44
144,Allen Ripley\ripleal01,29,CHC,5,7,.417,4.26,28,19,5,0,0,0,122.2,130,61,58,12,38,6,57,2,3,6,512,88,4.04,1.370,9.5,0.9,2.8,4.2,1.50
145,Bert Roberge\roberbe01,27,HOU,1,2,.333,4.21,22,0,13,0,0,3,25.2,29,12,12,0,6,3,18,0,1,0,110,80,2.02,1.364,10.2,0.0,2.1,6.3,3.00
146,Don Robinson\robindo01,25,PIT,15,13,.536,4.28,38,30,3,6,0,0,227.0,213,123,108,26,103,11,165,3,0,17,977,88,4.15,1.392,8.4,1.0,4.1,6.5,1.60
147,Steve Rogers\rogerst01,32,MON,19,8,.704,2.40,35,35,0,14,4,0,277.0,245,84,74,12,65,7,179,6,0,3,1122,152,2.76,1.119,8.0,0.4,2.1,5.8,2.75
148,Enrique Romo\romoen01,34,PIT,9,3,.750,4.36,45,0,14,0,0,1,86.2,81,43,42,11,36,6,58,1,1,1,373,86,4.31,1.350,8.4,1.1,3.7,6.0,1.61
149,Vicente Romo\romovi01,39,LAD,1,2,.333,3.03,15,6,6,0,0,1,35.2,25,12,12,1,14,0,24,2,1,1,147,117,3.08,1.093,6.3,0.3,3.5,6.1,1.71
150,Mark Ross\rossma01,27,HOU,0,0,,1.50,4,0,2,0,0,0,6.0,3,1,1,0,0,0,4,0,0,0,21,238,1.38,0.500,4.5,0.0,0.0,6.0,
151,Vern Ruhle\ruhleve01,31,HOU,9,13,.409,3.93,31,21,3,3,2,1,149.0,169,81,65,12,24,4,56,4,1,0,625,85,3.58,1.295,10.2,0.7,1.4,3.4,2.33
152,Dick Ruthven\ruthvdi01,31,PHI,11,11,.500,3.79,33,31,0,8,2,0,204.1,189,99,86,18,59,10,115,6,2,6,849,97,3.69,1.214,8.3,0.8,2.6,5.1,1.95
153,Nolan Ryan\ryanno01,35,HOU,16,12,.571,3.16,35,35,0,10,3,0,250.1,196,100,88,20,109,3,245,8,2,18,1050,105,3.20,1.218,7.0,0.7,3.9,8.8,2.25
154,Joe Sambito*\sambijo01,30,HOU,0,0,,0.71,9,0,7,0,0,4,12.2,7,2,1,0,2,2,7,0,0,0,47,484,2.09,0.711,5.0,0.0,1.4,5.0,3.50
155,Scott Sanderson\sandesc01,25,MON,12,12,.500,3.46,32,32,0,7,0,0,224.0,212,98,86,24,58,5,158,3,1,2,922,106,3.52,1.205,8.5,1.0,2.3,6.3,2.72
156,Manny Sarmiento\sarmima01,26,PIT,9,4,.692,3.39,35,17,6,4,0,1,164.2,153,69,62,7,46,4,81,0,2,5,678,111,3.12,1.209,8.4,0.4,2.5,4.4,1.76
157,Dan Schatzeder*\schatda01,27,TOT,1,6,.143,5.32,39,4,11,0,0,0,69.1,84,46,41,4,24,9,33,2,0,4,307,69,3.64,1.558,10.9,0.5,3.1,4.3,1.38
158,Dan Schatzeder*\schatda01,27,SFG,1,4,.200,7.29,13,3,1,0,0,0,33.1,47,30,27,3,12,4,18,0,0,2,155,50,3.89,1.770,12.7,0.8,3.2,4.9,1.50
159,Dan Schatzeder*\schatda01,27,MON,0,2,.000,3.50,26,1,10,0,0,0,36.0,37,16,14,1,12,5,15,2,0,2,152,105,3.41,1.361,9.3,0.3,3.0,3.8,1.25
160,Bill Scherrer*\scherbi01,24,CIN,0,1,.000,2.60,5,2,2,0,0,0,17.1,17,7,5,0,0,0,7,0,0,0,69,145,1.91,0.981,8.8,0.0,0.0,3.6,
161,Mike Scott\scottmi03,27,NYM,7,13,.350,5.14,37,22,10,1,0,3,147.0,185,100,84,13,60,3,63,2,2,1,670,71,4.27,1.667,11.3,0.8,3.7,3.9,1.05
162,Rod Scurry*\scurrro01,26,PIT,4,5,.444,1.74,76,0,38,0,0,14,103.2,79,26,20,3,64,7,94,4,1,12,448,217,3.25,1.379,6.9,0.3,5.6,8.2,1.47
163,Tom Seaver\seaveto01,37,CIN,5,13,.278,5.50,21,21,0,0,0,0,111.1,136,75,68,14,44,4,62,3,0,3,501,67,4.50,1.617,11.0,1.1,3.6,5.0,1.41
164,Herman Segelke\segelhe01,24,CHC,0,0,,8.31,3,0,1,0,0,0,4.1,6,4,4,1,6,0,4,0,0,2,25,49,8.02,2.769,12.5,2.1,12.5,8.3,0.67
165,Bob Shirley*\shirlbo01,28,CIN,8,13,.381,3.60,41,20,6,1,0,0,152.2,138,74,61,17,73,13,89,3,1,1,647,103,4.49,1.382,8.1,1.0,4.3,5.2,1.22
166,Steve Shirley*\shirlst01,25,LAD,1,1,.500,4.26,11,0,6,0,0,0,12.2,15,6,6,0,7,2,8,0,1,2,58,85,3.11,1.737,10.7,0.0,5.0,5.7,1.14
167,Eric Show\shower01,26,SDP,10,6,.625,2.64,47,14,12,2,2,3,150.0,117,49,44,10,48,3,88,5,0,2,611,132,3.47,1.100,7.0,0.6,2.9,5.3,1.83
168,Doug Sisk\siskdo01,24,NYM,0,1,.000,1.04,8,0,4,0,0,1,8.2,5,1,1,1,4,2,4,1,0,0,34,368,5.02,1.038,5.2,1.0,4.2,4.2,1.00
169,Bryn Smith\smithbr01,26,MON,2,4,.333,4.20,47,1,16,0,0,3,79.1,81,43,37,5,23,5,50,0,1,5,335,87,3.15,1.311,9.2,0.6,2.6,5.7,2.17
170,Dave Smith\smithda02,27,HOU,5,4,.556,3.84,49,1,29,0,0,11,63.1,69,30,27,4,31,4,28,0,4,2,286,87,4.12,1.579,9.8,0.6,4.4,4.0,0.90
171,Lee Smith\smithle02,24,CHC,2,5,.286,2.69,72,5,38,0,0,17,117.0,105,38,35,5,37,5,99,3,1,6,480,139,2.61,1.214,8.1,0.4,2.8,7.6,2.68
172,Eddie Solomon\solomed01,31,PIT,2,6,.250,6.75,11,10,1,0,0,0,46.2,69,38,35,9,18,0,18,1,0,1,221,56,5.67,1.864,13.3,1.7,3.5,3.5,1.00
173,Mario Soto\sotoma01,25,CIN,14,13,.519,2.79,35,34,1,13,2,0,257.2,202,88,80,19,71,3,274,4,1,6,1033,132,2.42,1.060,7.1,0.7,2.5,9.6,3.86
174,Randy Stein\steinra02,29,CHC,0,0,,3.48,6,0,1,0,0,0,10.1,7,4,4,2,7,2,6,0,0,1,43,111,6.10,1.355,6.1,1.7,6.1,5.2,0.86
