Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ryan Brady","KCR",0.0458,0.0522,0,4.78134,1,0,0,0,,1,4.409,1.0837,0.5715,0.53126,0.135778,0.3876,0.0268,0.0456,0.7015,6.3135,3.4884,1.80986,1.222,0.159106,0.0879111,0.07119528204202652,0.272574,1.4713,0.302028,0.702304,0.44689,,4.79685,-0.00410885,-0.0449499,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ryan Brady","sa3020313",676433
"Jharel Cotton",,0.0459,0.0521,0,4.69908,1,0,0,0,,1,4.363,0.9948,0.5547,0.52212,0.158444,0.3934,0.0239,0.042,0.8692,7.8228,3.5406,2.20946,1.426,0.199221,0.0901673,0.10905339568853378,0.253284,1.3882,0.288403,0.714606,0.336003,,4.76271,-0.00411937,-0.0470039,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jharel Cotton","13654",605194
"Jeremy Walker",,0.0472,0.055,0.0116,4.71744,0.8499,0.0319,0,0,,1,4.385,1.0487,0.5637,0.52416,0.146111,0.398,0.0224,0.0418,0.7351,6.6159,3.582,1.84698,1.315,0.16764,0.090764,0.0768757089972496,0.265817,1.4467,0.29458,0.710867,0.439313,,4.88378,-0.00412506,-0.0442271,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jeremy Walker","19981",668683
"Joe Barlow",,0.0459,0.0521,0,4.67469,1,0,0,0,,1,4.365,1.0173,0.554,0.51941,0.154222,0.3871,0.024,0.0358,0.8227,7.4043,3.4839,2.12529,1.388,0.188477,0.0886827,0.09979382157325745,0.25806,1.4044,0.291071,0.71553,0.366995,,4.76333,-0.00412624,-0.0470039,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Joe Barlow","22296",669618
"Tejay Antone","CIN",1.1069,1.2443,0,4.51406,24,0,0,0.6496,,24,105.171,24.0339,12.9718,12.0375,3.32533,10.3839,0.6048,1.1872,20.9585,7.85944,3.89396,2.01836,1.247,0.19928,0.0987335,0.10054672509431839,0.256773,1.43407,0.298756,0.720575,0.451736,,4.6362,-0.00412633,0.0278032,999,,,,,,,91.30000000000001,3.804166666666667,94,3.9166666666666665,8.05,6.5,5.58,4.89,4.33,3.83,3.36,2.88,2.33,5.8,5.44,5.19,4.99,4.81,4.64,4.46,4.26,4,"Tejay Antone","16233",622088
"Joan Adon",,0.048,0.0587,0.0244,4.63131,0.6908,0.0658,0,0,,1,4.421,1.0163,0.5541,0.51459,0.133667,0.4432,0.0402,0.0608,0.8107,7.2963,3.9888,1.8292,1.203,0.183375,0.100249,0.0831259936094284,0.259459,1.4595,0.29692,0.711587,0.440017,,4.7634,-0.00412712,-0.0470039,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Joan Adon","22925",672851
"Luis Vargas","ATL",0.0477,0.0503,0,4.61898,1,0,0,0,,1,4.388,1.0094,0.5497,0.51322,0.141444,0.4271,0.0266,0.0418,0.863,7.767,3.8439,2.0206,1.273,0.196673,0.0973336,0.09933909773826599,0.257559,1.4365,0.29779,0.71604,0.401992,,4.65461,-0.00413109,-0.0456668,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Luis Vargas","sa3009592",682855
"Diego Barrera","ATH",0.0475,0.0535,0.0081,4.68027,0.8936,0.0226,0,0,,1,4.406,1.0416,0.5586,0.52003,0.143444,0.425,0.0237,0.0411,0.7459,6.7131,3.825,1.75506,1.291,0.169292,0.0964594,0.07283249497413635,0.264372,1.4666,0.294424,0.717345,0.417252,,4.90641,-0.00413362,-0.0450611,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Diego Barrera","sa3023203",685290
"Chris Rodriguez","CHW",0.045,0.0609,0.022,4.74921,0.7221,0.0591,0,0,,1,4.465,1.0419,0.5694,0.52769,0.131556,0.4881,0.0184,0.0512,0.7488,6.7392,4.3929,1.53411,1.184,0.167704,0.109317,0.05838745832443237,0.265405,1.53,0.29893,0.713764,0.46532,,4.96566,-0.00413386,-0.0474674,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Chris Rodriguez","22310",669735
"Tanner Kiest",,0.0484,0.0495,0,4.7331,1,0,0,0,,1,4.423,1.0114,0.5647,0.5259,0.147333,0.465,0.0268,0.0502,0.8252,7.4268,4.185,1.77462,1.326,0.18657,0.105132,0.08143794536590576,0.258816,1.4764,0.294374,0.717799,0.434051,,4.94567,-0.00413414,-0.0461848,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Tanner Kiest","sa738380",641750
