Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Jackson Chourio","MIL",131,589,21,88,78,21,0.050933786,0.205432937,0.193078324,0.307506053,0.269581056,0.307823129,0.46265938,0.32846995980004434,0.31884375707051216,111.35224164419445,3.056685835123062,10.9815372363228,-1.9517136812210083,2.9290613265337595,"Jackson Chourio",28806,694192
"Taylor Ward","LAA",157,663,36,86,103,4,0.113122171,0.263951734,0.246977548,0.256684491,0.227979274,0.316742081,0.474956822,0.33875144356327114,0.342073492413201,116.71884497982768,-1.1095552518963814,11.95493214325424,-6.192001223564148,2.9242009702977567,"Taylor Ward",17548,621493
"Max Muncy","LAD",100,388,19,48,67,4,0.164948453,0.213917525,0.226837061,0.263888888,0.242811501,0.376288659,0.469648562,0.3660966017394486,0.3875558487491904,136.88225240877588,0.4306705463677645,17.391354713926503,-1.7295278310775757,2.9233118960328768,"Max Muncy",13301,571970
"Riley Greene","DET",157,655,36,84,111,2,0.070229007,0.306870229,0.235,0.323369565,0.258333333,0.312977099,0.493333333,0.3432960526658854,0.34728061314387426,120.77683357750392,-2.0084202140569687,14.03116879542987,-8.021653652191162,2.9212597156510185,"Riley Greene",25976,682985
"Jake Cronenworth","SDP",135,515,11,61,59,3,0.133980582,0.20776699,0.131264916,0.298701298,0.245823389,0.366666666,0.377088305,0.3330861906171548,0.324167597012257,117.49854494100151,-0.6324701569974422,10.048319738919025,1.3006732761859894,2.914415061281862,"Jake Cronenworth",18036,630105
"Randy Arozarena","SEA",160,709,27,95,76,31,0.090267983,0.269393511,0.187601957,0.2975,0.23817292,0.334273624,0.425774877,0.33227248500395024,0.33623882866446086,119.9653375656667,-1.2630202192813158,15.420798699818597,-11.563601970672607,2.8911974760606056,"Randy Arozarena",19290,668227
"Yandy Díaz","TBR",150,651,25,79,83,3,0.087557603,0.141321044,0.181818182,0.318471337,0.300171526,0.365591397,0.481989708,0.3642911937726889,0.36402503278025217,134.60814339668812,-1.0444691460579634,25.50964788630584,-19.770220279693604,2.879541427226,"Yandy Diaz",16578,650490
"TJ Friedl","CIN",152,685,14,82,53,12,0.118248175,0.167883211,0.117443868,0.301098901,0.260794473,0.364170337,0.378238341,0.33261985330679694,0.3068005730124081,108.56034180948117,1.8264444209635258,8.77630165717805,-3.4704926013946533,2.874871378430566,"TJ Friedl",19522,670770
"Brendan Donovan","STL",118,515,10,64,50,3,0.081553398,0.130097087,0.134782609,0.315245478,0.286956521,0.35282651,0.42173913,0.33701156775156654,0.3564694273705576,118.59689135104449,-0.5290522873401642,10.822148050024808,-0.09978049993515015,2.8503034341142386,"Brendan Donovan",24679,680977
"Ian Happ","CHC",150,663,23,87,79,6,0.131221719,0.227752639,0.177504394,0.2875,0.242530755,0.342383107,0.420035149,0.3334078720225509,0.36325579556551846,115.77252036124874,-3.3135265223681927,9.080397540105192,-3.6878528594970703,2.808848502798784,"Ian Happ",17919,664023
"J.P. Crawford","SEA",157,654,12,69,58,8,0.113149847,0.186544342,0.105263158,0.318077803,0.26491228,0.351851851,0.370175438,0.3224378884115027,0.3345602160302278,113.19065201889754,-2.251393722370267,7.9161625947401895,-3.056117057800293,2.800133351203042,"J.P. Crawford",15491,641487
"Willson Contreras","STL",135,563,20,70,80,5,0.078152753,0.252220248,0.189795918,0.319277108,0.257142857,0.34402852,0.446938775,0.34426162796361104,0.3688495048058076,123.56341575893369,-2.4634075686335564,13.259789101953173,-4.997234344482422,2.762045471597064,"Willson Contreras",11609,575929
"Roman Anthony","BOS",71,303,8,48,32,4,0.132013201,0.277227722,0.171206226,0.403614457,0.291828793,0.396039603,0.463035019,0.3763852876798548,0.3818454616117162,139.6254499087771,1.183962980285287,15.335037227520317,0.8680887222290039,2.7247177787610855,"Roman Anthony",31812,701350
"Gabriel Moreno","ARI",83,309,9,44,40,2,0.093851132,0.171521035,0.148014441,0.322580645,0.285198555,0.352750809,0.433212996,0.3396805127461751,0.3532990502529457,117.29298683781217,-0.4333619400858879,5.89983066685149,10.072312712669373,2.6861127832414122,"Gabriel Moreno",22664,672515
