ID,G,GS,CG,ShO,W,L,SV,BS,HO,IP,BF,AB,H,D,T,HR,BB,HP,ER,R,K
8763,43,0,0,0,4,3,4,0,12,68,0,0,65,0,0,8,22,0,28,30,69,JSlaten
7934,53,0,0,0,5,3,4,0,12,68,0,0,64,0,0,5,24,0,24,27,62,YCano
6550,52,0,0,0,4,3,0,0,13,68,0,0,57,0,0,9,18,0,27,29,74,KAkin
6581,69,0,0,0,3,5,16,0,7,68,0,0,65,0,0,8,32,0,34,37,67,JAnderson
4929,65,0,0,0,5,2,37,0,0,67,0,0,55,0,0,8,15,0,21,23,67,RIglesias
5986,57,0,0,0,4,4,2,0,16,67,0,0,68,0,0,6,28,0,32,36,72,ABummer
5488,59,0,0,0,3,4,25,0,2,67,0,0,66,0,0,9,25,0,34,37,65,CEstevez
5818,56,0,0,0,3,4,9,0,10,67,0,0,65,0,0,7,29,0,34,37,70,LErceg
6728,50,0,0,0,3,4,2,0,17,67,0,0,71,0,0,8,26,0,33,36,61,BBurke
4806,47,0,0,0,5,3,10,0,2,67,0,0,68,0,0,7,10,0,22,25,65,ChMartin
6699,58,0,0,0,4,3,6,0,9,67,0,0,62,0,0,8,20,0,26,29,62,JPayamps
8465,59,0,0,0,3,4,2,0,12,66,0,0,59,0,0,8,35,0,32,35,78,MOtanez
8038,51,0,0,0,3,5,2,0,9,66,0,0,61,0,0,8,32,0,34,37,69,TFerguson
8201,48,0,0,0,4,3,10,0,5,66,0,0,55,0,0,8,17,0,22,24,54,THolton
7478,58,0,0,0,4,3,2,0,11,66,0,0,53,0,0,6,34,0,26,28,73,EMiller
8559,35,0,0,0,4,3,7,0,16,66,0,0,55,0,0,7,31,0,29,32,67,PHodge
6169,61,0,0,0,4,4,4,0,10,66,0,0,64,0,0,10,22,0,31,33,68,EPagan
7028,31,0,0,0,4,4,0,0,10,66,0,0,69,0,0,6,17,0,29,32,54,SHjelle
7868,60,0,0,0,3,4,11,0,8,66,0,0,58,0,0,9,34,0,34,36,67,ADiaz
7500,57,0,0,0,3,4,12,0,8,66,0,0,70,0,0,8,18,0,30,34,49,JFoley
5973,17,5,0,0,4,4,0,0,3,65,0,0,60,0,0,7,24,0,28,31,56,DDunning
5757,62,0,0,0,5,2,32,0,4,65,0,0,51,0,0,5,31,0,22,25,73,TanScott
2132,0,0,0,0,4,3,12,0,0,65,0,0,55,0,0,9,28,0,24,26,77,DRobertson
6643,53,0,0,0,4,3,30,0,0,65,0,0,58,0,0,5,20,0,24,27,73,JDuran
6796,61,0,0,0,3,4,26,0,0,65,0,0,63,0,0,9,25,0,32,35,66,DBednar
6298,61,0,0,0,3,4,7,0,11,65,0,0,66,0,0,9,26,0,33,36,59,DSantana
7969,39,0,0,0,3,4,2,0,7,65,0,0,68,0,0,8,26,0,34,37,57,CMlodzinski
5432,55,0,0,0,3,4,4,0,10,65,0,0,66,0,0,8,27,0,31,34,62,JTinoco
4548,16,8,0,0,3,4,0,0,2,65,0,0,65,0,0,10,19,0,34,38,59,KMaeda
9163,43,0,0,0,3,5,4,0,6,65,0,0,67,0,0,9,26,0,34,37,68,LPeralta
7904,59,0,0,0,2,5,9,0,11,65,0,0,70,0,0,8,30,0,35,39,67,CFaucher
8046,50,0,0,0,2,5,0,0,0,65,0,0,73,0,0,7,28,0,37,41,54,JBird
8407,51,0,0,0,2,5,1,0,7,65,0,0,73,0,0,7,25,0,36,40,57,DCronin
4885,34,0,0,0,6,2,34,0,0,65,0,0,39,0,0,4,31,0,16,17,95,DWilliams
4795,67,0,0,0,4,3,27,0,1,65,0,0,50,0,0,8,21,0,22,24,80,JHoffman
8305,56,0,0,0,4,3,2,0,11,65,0,0,54,0,0,6,25,0,23,25,66,THerrin
6624,41,0,0,0,4,3,2,0,14,65,0,0,59,0,0,7,25,0,26,29,66,IHamilton
3680,67,0,0,0,5,2,13,0,8,64,0,0,48,0,0,6,22,0,20,21,70,JAdam
6446,63,0,0,0,4,3,35,0,0,64,0,0,54,0,0,8,25,0,23,25,76,RHelsley
6243,55,0,0,0,4,3,2,0,14,64,0,0,58,0,0,8,30,0,27,29,61,TyScott
8093,59,0,0,0,3,4,2,0,13,64,0,0,66,0,0,8,28,0,30,33,62,RFernandez
7372,13,13,0,0,3,4,0,0,0,64,0,0,52,0,0,9,27,0,32,35,64,CCavalli
4840,55,0,0,0,5,2,39,0,0,64,0,0,50,0,0,5,22,0,21,22,93,EDiaz
7890,21,0,0,0,4,3,2,0,20,64,0,0,56,0,0,7,27,0,24,26,59,JButto
5434,54,0,0,0,3,4,2,0,9,64,0,0,69,0,0,7,21,0,30,33,55,JrgLopez
8408,62,0,0,0,3,4,6,0,5,64,0,0,60,0,0,7,30,0,32,35,64,FEllard
3433,18,3,0,0,4,3,0,0,7,63,0,0,62,0,0,8,20,0,28,30,51,AlSuarez
4796,53,0,0,0,3,4,2,0,12,63,0,0,62,0,0,7,19,0,29,31,64,HHarvey
7093,58,0,0,0,3,4,0,0,11,63,0,0,62,0,0,7,26,0,30,33,60,JSchreiber
6793,60,0,0,0,5,2,2,0,12,63,0,0,57,0,0,8,17,0,22,24,70,DLee
4507,57,0,0,0,4,3,5,0,19,63,0,0,58,0,0,7,29,0,25,27,72,PJohnson
