Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Huascar Brazoban","MIA",3,3,,4.31616,46,0,0,1,56.3,249,53,29,27,7,28,1,3,62,9.91119,4.47602,2.21429,1.11901,0.248996,0.11245,0.13654618710279465,0.243119,1.43872,0.308725,0.730337,,,4.32076,0.145649,0.219705,999,,,,"6107"
"Robert Garcia","WSN",2,2,,4.73684,33,1,0,11,43.7,195,41,25,23,6,23,1,3,46,9.47368,4.73684,2,1.2357,0.235897,0.117949,0.11794871836900711,0.242604,1.46453,0.299145,0.701439,,,4.71957,0.143495,-0.0170533,999,,,,"23363"
"Drew Smith","NYM",4,4,,4.35754,54,0,0,13,53.7,227,48,28,26,8,23,1,3,56,9.38548,3.85475,2.43478,1.34078,0.246696,0.101322,0.14537445455789566,0.238806,1.32216,0.291971,0.719064,,,4.55858,0.140305,0.0282709,999,,,,"17755"
"Jackson Tetreault","WSN",4,6,,5.50746,14,14,0,0,67,303,76,44,41,11,29,0,2,43,5.77612,3.89552,1.48276,1.47761,0.141914,0.0957096,0.046204619109630585,0.279412,1.56716,0.298165,0.680804,,,5.49385,0.139208,0.0294758,999,,,,"20565"
"Ray Kerr","ATL",4,3,,4.35754,49,1,0,1,53.7,241,50,28,26,7,29,2,3,63,10.5587,4.86034,2.17241,1.17318,0.261411,0.120332,0.14107885211706161,0.239234,1.47114,0.309353,0.736994,,,4.39098,0.137155,0.253417,999,,,,"23809"
"Thyago Vieira","MIL",2,3,,4.275,35,0,0,1,40,169,36,21,19,6,14,0,3,44,9.9,3.15,3.14286,1.35,0.260355,0.0828402,0.17751479148864746,0.236842,1.25,0.294118,0.697115,,,4.28004,0.136222,0.112247,999,,,,"14510"
"Gabe Mosser","SDP",3,5,,5.06567,15,11,0,0,53.3,238,59,32,30,9,18,0,2,36,6.0788,3.0394,2,1.5197,0.151261,0.0756303,0.07563025504350662,0.270642,1.44465,0.289017,0.698758,,,5.22502,0.136032,0.0795075,999,,,,"sa3006834"
"Benito Garcia","STL",3,4,,4.65839,26,3,0,0,48.3,213,53,27,25,6,14,0,3,30,5.59006,2.6087,2.14286,1.11801,0.140845,0.0657277,0.07511737942695618,0.270408,1.38716,0.29375,0.682594,,,4.68361,0.135575,0.0936732,999,,,,"sa3005891"
"Cole Sulser","NYM",3,3,,4.58445,34,2,0,1,37.3,162,36,21,19,6,16,0,1,38,9.1689,3.86059,2.375,1.44772,0.234568,0.0987654,0.1358024626970291,0.248276,1.3941,0.29703,0.711009,,,4.67595,0.1343,-0.0517257,999,,,,"15256"
"Dinelson Lamet","LAD",2,2,,5.21053,22,4,0,1,38,170,36,24,22,7,19,0,2,44,10.4211,4.5,2.31579,1.65789,0.258824,0.111765,0.14705883711576462,0.241611,1.44737,0.295918,0.685841,,,4.99188,0.129396,-0.151583,999,,,,"17186"
"Woo-Suk Go","SDP",6,6,,4.04711,47,0,0,0,46.7,201,38,23,21,7,22,1,4,59,11.3704,4.23983,2.68182,1.34904,0.293532,0.109453,0.1840796023607254,0.217143,1.2848,0.284404,0.737052,,,4.34712,0.12823,0.147842,638.8599853515625,,,,"sa3012630"
"R.J. Dabovich","SFG",2,3,,4.35835,40,1,0,0,41.3,182,35,22,20,5,24,1,1,49,10.678,5.23002,2.04167,1.08959,0.269231,0.131868,0.13736264407634735,0.22293,1.42857,0.291262,0.711538,,,4.27199,0.12623,0.0399348,999,,,,"sa3014431"
"Josh Simpson","MIA",2,2,,4.42953,31,1,0,0,44.7,199,39,24,22,6,24,0,4,54,10.8725,4.83221,2.25,1.20805,0.271357,0.120603,0.15075377374887466,0.22807,1.4094,0.297297,0.714286,,,4.46309,0.122615,0.142012,999,,,,"sa1053035"
"Matt Barnes","WSN",2,3,,5.29412,40,2,0,4,35.7,160,34,23,21,5,18,1,2,37,9.32773,4.53782,2.05556,1.2605,0.23125,0.1125,0.11875000596046448,0.242857,1.45658,0.295918,0.644444,,,4.68361,0.122171,-0.239844,747.3200073242188,,,,"12863"
"Michael Cuevas","WSN",5,8,,5.49121,23,22,0,0,96.7,446,108,64,59,13,47,0,7,54,5.02585,4.37435,1.14894,1.20993,0.121076,0.105381,0.01569506525993347,0.27551,1.6029,0.292308,0.665205,,,5.56114,0.121299,-0.0176616,999,,,,"sa3011437"
"Calvin Faucher","MIA",2,3,,4.7806,33,4,0,1,43.3,199,46,25,23,6,22,1,1,43,8.93764,4.57275,1.95455,1.24711,0.21608,0.110553,0.10552763193845749,0.261364,1.57044,0.314961,0.721476,,,4.66382,0.117254,0.0805089,999,,,,"20116"
"Tanner Rainey","WSN",1,2,,5,29,1,5,12,27,120,24,16,15,4,15,0,1,31,10.3333,5,2.06667,1.33333,0.258333,0.125,0.13333332538604736,0.230769,1.44444,0.289855,0.688623,,,4.66245,0.117134,-0.0605568,724.0700073242188,,,,"17610"
"Ryan Loutos","STL",3,4,,4.43478,45,0,0,0,69,305,69,37,34,8,28,1,3,58,7.56522,3.65217,2.07143,1.04348,0.190164,0.0918033,0.09836066514253616,0.251825,1.4058,0.293269,0.699301,,,4.42895,0.11613,0.0194253,999,,,,"sa3016850"
"Gavin Hollowell","COL",1,2,,5.01923,43,0,0,1,52,230,51,31,29,8,21,1,5,53,9.17308,3.63462,2.52381,1.38462,0.230435,0.0913043,0.13913042843341827,0.25,1.38462,0.300699,0.674342,,,4.71658,0.109261,0.179166,999,,,,"25427"
"Joe Kelly","LAD",3,2,,4.46064,38,0,3,12,34.3,148,29,18,17,5,17,0,3,44,11.5452,4.46064,2.58824,1.31195,0.297297,0.114865,0.18243243545293808,0.226562,1.34111,0.303797,0.717949,,,4.33376,0.10802,0.0485667,710.25,,,,"9761"
"Jake McSteen","ATL",3,2,,4.81361,31,5,0,0,61.7,273,70,36,33,10,19,0,1,45,6.56402,2.77147,2.36842,1.45867,0.164835,0.0695971,0.095238097012043,0.27668,1.44246,0.30303,0.706667,,,4.87579,0.107261,0.163301,999,,,,"sa3015087"
