Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Nien-Hsi Yang","SFG",0,0,0,4.97154,1,0,0,0,,1.25,6,1,1,1,0,1,0,0,1,7.13433,4.01412,1.77731,1.24471,0.18016,0.101367,0.07879330962896347,0.263581,1.47531,0.299591,0.680335,,,4.83249,-0.00809691,-0.0358931,999,,,,,,,5.65,4.5200000000000005,5.25,4.2,,,,,,,,,,,,,,,,,,,"Nien-Hsi Yang","sa3068860",806825
"Johan Moreno","SDP",0,0,0,5.32655,1,1,0,0,,2.18928,10,2,1,1,0,1,0,0,2,6.42034,5.1311,1.25126,1.43201,0.153895,0.122992,0.030903197824954987,0.256247,1.59779,0.276789,0.691891,,,5.6518,-0.00814234,0.0338531,999,,,,,,,12.00066342353821,5.481560045569285,11.946394205093384,5.456771417721599,,,,,,,,,,,,,,,,,,,"Johan Moreno","sa3020999",808052
"Alex Galvan","ARI",0,0,0,5.18637,1,0,0,0,,1,4,1,1,1,0,0,0,0,1,6.44817,4.10176,1.57205,1.20834,0.165338,0.105173,0.06016414612531662,0.26987,1.48904,0.301878,0.660712,,,4.96106,-0.00814283,-0.0452138,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Alex Galvan","sa3031874",694453
"Alex Breckheimer","STL",0,0,0,4.95033,1,0,0,0,,1,5,1,1,1,0,1,0,0,1,8.16961,4.64809,1.75763,1.41367,0.181547,0.103291,0.07825608551502228,0.261692,1.67513,0.297845,0.738284,,,5.07877,-0.00816493,-0.0482237,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Alex Breckheimer","sa3058721",832225
"Colin Peluse","PHI",0,0,0,5.13621,1,0,0,0,,1.45326,6,1,1,1,0,1,0,0,1,6.19659,3.33132,1.8601,1.35637,0.162829,0.0875379,0.07529138773679733,0.268023,1.39217,0.292981,0.650919,,,4.96306,-0.00817667,-0.0240575,999,,,,,,,7.154144763946533,4.92281556695135,6.2663140296936035,4.311893213042041,,,,,,,,,,,,,,,,,,,"Colin Peluse","sa3011126",668761
"Tyler Beede","CHC",0,0,0,4.84468,1,0,0,0,,1.39407,7,2,1,1,0,1,0,0,1,8.76244,5.06803,1.72896,1.34451,0.191565,0.110797,0.08076721429824829,0.258085,1.71447,0.300156,0.748366,,,4.99366,-0.00817988,-0.0276041,999,,,,,,,4.116114687919617,2.952589188085857,5.970347762107849,4.282675675497718,,,,,,,,,,,,,,,,,,,"Tyler Beede","16981",595881
"Will Cannon","CIN",0,0,0,5.22741,1,0,0,0,,1.54865,7,1,1,1,0,1,0,0,1,6.61332,4.37749,1.51076,1.30734,0.174709,0.115643,0.05906561017036438,0.258236,1.43432,0.287621,0.649848,,,5.15932,-0.00820782,-0.0135248,999,,,,,,,7.859999608993531,5.075392590843235,6.743242979049683,4.354275719678676,,,,,,,,,,,,,,,,,,,"Will Cannon","sa3028369",825756
"Tyler McLoughlin","NYM",0,0,0,4.69968,1,0,0,0,,1.05,6,1,1,1,0,1,0,0,1,9.10449,4.92881,1.8472,1.52076,0.193125,0.104551,0.08857491612434387,0.249515,1.70331,0.285909,0.772436,,,5.12793,-0.00823667,-0.046884,999,,,,,,,4.169999647140504,3.9714284157266357,4.249999761581421,4.04761900436851,,,,,,,,,,,,,,,,,,,"Tyler McLoughlin","sa3037700",823230
"Zuher Yousuf","PHI",0,0,0,5.83705,1,1,0,0,,4.02222,17,4,3,3,1,2,0,0,3,5.88865,3.89188,1.51306,1.70024,0.15183,0.100346,0.051483653485774994,0.27034,1.46761,0.283414,0.631056,,,5.72309,-0.00824745,-0.0378747,999,,,,,,,7.0644431114196795,1.756353338404932,7.111110210418701,1.767955656355247,,,,,,,,,,,,,,,,,,,"Zuher Yousuf","sa3024271",823358
"Jesus Clode","PIT",0,0,0,5.42776,1,0,0,0,,1.00455,4,1,1,1,0,0,0,0,1,5.43083,3.8021,1.42838,1.2585,0.141869,0.0993219,0.04254719614982605,0.276746,1.46964,0.298406,0.636595,,,5.15454,-0.00827127,-0.0441536,999,,,,,,,6.833636331558228,6.802714929549252,7.0227272510528564,6.990950234835829,,,,,,,,,,,,,,,,,,,"Jesus Clode","sa3015491",699018
