Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Blackburn","NYM",6,6,,4.64835,48,15,0,1,,106,463,109,59,55,14,37,,3,83,7.02198,3.16483,2.21875,1.18681,0.178392,0.080402,0.09798995405435562,0.258953,1.38462,0.292857,0.686813,,,4.47417,0.573126,0.247606,643.0599975585938,,,,,,,378.80000000000007,3.573584905660378,398,3.7547169811320753,,,,,,,,,,,,,,,,,,,"Paul Blackburn","14739",621112
"Matt Waldron","SDP",4,5,,4.55531,21,13,0,1,,79,335,78,43,40,12,22,,4,65,7.48373,2.53796,2.94872,1.36659,0.195246,0.0662139,0.12903225421905518,0.254144,1.27983,0.287469,0.684282,,,4.47523,0.572337,0.378056,561.8099975585938,,,,,,,290.2,3.6734177215189874,295,3.7341772151898733,,,,,,,,,,,,,,,,,,,"Matt Waldron","25550",663362
"Tony Gonsolin","LAD",6,5,,4.33333,37,15,0,1,,91,373,80,47,44,14,30,,3,76,7.44444,3,2.48148,1.33333,0.20303,0.0818182,0.12121211737394333,0.236667,1.20988,0.266968,0.689655,,,4.5492,0.572272,0.640506,421.94000244140625,,,,,,,350.20000000000005,3.848351648351649,330,3.6263736263736264,,,,,,,,,,,,,,,,,,,"Tony Gonsolin","19388",664062
"Johan Oviedo","PIT",4,6,,4.26618,32,10,0,1,,76,329,71,39,36,9,31,,6,69,8.20419,3.60985,2.27273,1.06655,0.21097,0.092827,0.11814345419406891,0.241706,1.3309,0.288026,0.704225,,,4.30595,0.564535,0.658372,731.0900268554688,,,,,,,298.1,3.922368421052632,294,3.8684210526315788,,,,,,,,,,,,,,,,,,,"Johan Oviedo","22487",670912
"Tyler Rogers","SFG",4,3,,3.49922,70,0,1,14,,70,287,70,29,27,7,12,,4,49,6.2986,1.53966,4.09091,0.839813,0.170455,0.0416667,0.12878789380192757,0.257028,1.16641,0.292929,0.720721,,,3.6797,0.557166,1.04231,747.9099731445312,,,,,,,360.9,5.155714285714286,370,5.285714285714286,,,,,,,,,,,,,,,,,,,"Tyler Rogers","15541",643511
"Jesus Tinoco","MIA",2,1,,3.83305,64,0,6,10,,64,271,58,29,27,7,25,,2,63,8.89267,3.52641,2.52174,0.919932,0.232932,0.0923695,0.1405622437596321,0.236607,1.29472,0.29375,0.724852,,,3.7968,0.557099,0.781493,424.1700134277344,,,,,,,351.7,5.4953125,344,5.375,,,,,,,,,,,,,,,,,,,"Jesus Tinoco","16300",622786
"Calvin Faucher","MIA",2,4,,3.90566,63,0,22,6,,63,282,59,30,27,6,31,,2,68,9.67924,4.41509,2.19231,0.849057,0.240506,0.109705,0.13080167770385742,0.239234,1.43396,0.306122,0.73913,,,3.82686,0.555289,0.607022,306.3500061035156,,,,,,,410.0000000000001,6.50793650793651,408,6.476190476190476,,,,,,,,,,,,,,,,,,,"Calvin Faucher","20116",676534
"Chase Dollander","COL",2,4,,5,18,18,0,0,,87,389,87,53,49,14,35,,11,81,8.33333,3.58333,2.32558,1.41667,0.208333,0.0895833,0.11875000596046448,0.252358,1.38889,0.29316,0.673534,,,4.91648,0.546925,0.757546,999,,,,,,,269.4000000000001,3.096551724137932,277,3.1839080459770117,,,,,,,,,,,,,,,,,,,"Chase Dollander","sa3023361",801403
"Ryan Fernandez","STL",4,3,,3.70675,65,0,1,16,,65,276,59,29,27,6,25,,1,64,8.89621,3.41021,2.6087,0.889621,0.232558,0.0891473,0.14341086149215698,0.235043,1.28501,0.291667,0.732759,,,3.66071,0.54341,0.578646,666.6699829101562,,,,,,,372.80000000000007,5.735384615384617,366,5.630769230769231,,,,,,,,,,,,,,,,,,,"Ryan Fernandez","24862",681676
"Ryan Brasier","CHC",3,1,,3.48668,58,0,2,13,,58,232,51,24,22,6,17,,1,52,8.06295,2.61501,3.08333,0.871671,0.224242,0.0727273,0.1515151634812355,0.236842,1.16223,0.288288,0.731132,,,3.5781,0.53466,0.719536,745.2000122070312,,,,,,,334.80000000000007,5.77241379310345,324,5.586206896551724,,,,,,,,,,,,,,,,,,,"Ryan Brasier","5615",518489
"Tanner Banks","PHI",3,2,,3.8009,68,0,0,12,,68,287,64,31,29,7,21,,2,67,8.82353,2.71493,3.25,0.950226,0.232143,0.0714286,0.1607142984867096,0.24031,1.2368,0.295699,0.720222,,,3.57372,0.530958,0.387363,750.239990234375,,,,,,,363.70000000000005,5.348529411764707,362,5.323529411764706,,,,,,,,,,,,,,,,,,,"Tanner Banks","16990",621383
"Adrian Morejon","SDP",3,3,,3.58852,61,0,1,12,,61,261,55,26,24,7,20,,1,64,9.47368,3.01435,3.14286,1.00478,0.246269,0.0783582,0.16791044920682907,0.231707,1.24402,0.289017,0.747801,,,3.5652,0.522129,0.509025,625.239990234375,,,,,,,340.30000000000007,5.578688524590165,332,5.442622950819672,,,,,,,,,,,,,,,,,,,"Adrian Morejon","20039",670970
"Bubba Chandler","PIT",4,6,,4.5,15,15,0,0,,68,296,67,36,34,9,27,,4,59,7.77273,3.51818,2.2093,1.22727,0.197917,0.0895833,0.10833331942558289,0.251163,1.37273,0.290625,0.707692,,,4.57557,0.505066,0.737082,298.260009765625,,,,,,,243.30000000000007,3.5779411764705893,248,3.6470588235294117,,,,,,,,,,,,,,,,,,,"Bubba Chandler","sa3017428",696149
"José Buttó","NYM",4,2,,3.50649,63,0,1,16,,63,263,49,26,25,6,27,,4,70,10,3.8961,2.56667,0.909091,0.266436,0.103806,0.16262975335121155,0.211765,1.21212,0.274854,0.74124,,,3.72925,0.50479,0.755926,654.4600219726562,,,,,,,381,6.0476190476190474,353,5.603174603174603,,,,,,,,,,,,,,,,,,,"Jose Butto","23313",676130
